timestamp,SpO2,pulse_rate
2025-03-14 22:30:25.367455,98.0,80.7
2025-03-14 22:30:35.367455,95.9,71.2
2025-03-14 22:30:45.367455,96.4,69.2
2025-03-14 22:30:55.367455,97.7,75.6
2025-03-14 22:31:05.367455,98.0,84.4
2025-03-14 22:31:15.367455,98.1,78.5
2025-03-14 22:31:25.367455,97.6,71.4
2025-03-14 22:31:35.367455,98.0,83.7
2025-03-14 22:31:45.367455,97.1,77.9
2025-03-14 22:31:55.367455,98.6,76.9
2025-03-14 22:32:05.367455,97.0,67.5
2025-03-14 22:32:15.367455,97.9,74.0
2025-03-14 22:32:25.367455,97.3,82.0
2025-03-14 22:32:35.367455,99.3,77.0
2025-03-14 22:32:45.367455,99.4,74.1
2025-03-14 22:32:55.367455,97.8,76.1
2025-03-14 22:33:05.367455,98.5,78.9
2025-03-14 22:33:15.367455,99.2,69.7
2025-03-14 22:33:25.367455,98.5,60.2
2025-03-14 22:33:35.367455,98.4,82.8
2025-03-14 22:33:45.367455,97.1,79.8
2025-03-14 22:33:55.367455,98.2,75.9
2025-03-14 22:34:05.367455,99.6,74.3
2025-03-14 22:34:15.367455,97.9,72.5
2025-03-14 22:34:25.367455,100.2,77.8
2025-03-14 22:34:35.367455,96.7,73.1
2025-03-14 22:34:45.367455,97.3,81.3
2025-03-14 22:34:55.367455,99.5,75.4
2025-03-14 22:35:05.367455,99.3,79.3
2025-03-14 22:35:15.367455,98.7,73.4
2025-03-14 22:35:25.367455,97.2,74.8
2025-03-14 22:35:35.367455,98.3,75.7
2025-03-14 22:35:45.367455,98.9,74.3
2025-03-14 22:35:55.367455,98.5,77.7
2025-03-14 22:36:05.367455,97.0,70.0
2025-03-14 22:36:15.367455,95.8,67.9
2025-03-14 22:36:25.367455,98.4,68.3
2025-03-14 22:36:35.367455,97.1,81.3
2025-03-14 22:36:45.367455,98.8,70.7
2025-03-14 22:36:55.367455,98.3,74.8
2025-03-14 22:37:05.367455,98.0,73.6
2025-03-14 22:37:15.367455,98.9,72.7
2025-03-14 22:37:25.367455,98.0,81.8
2025-03-14 22:37:35.367455,97.5,61.3
2025-03-14 22:37:45.367455,98.1,73.5
2025-03-14 22:37:55.367455,98.0,66.2
2025-03-14 22:38:05.367455,98.6,64.9
2025-03-14 22:38:15.367455,97.2,72.4
2025-03-14 22:38:25.367455,99.5,74.0
2025-03-14 22:38:35.367455,99.7,79.3
2025-03-14 22:38:45.367455,97.3,74.6
2025-03-14 22:38:55.367455,97.3,79.1
2025-03-14 22:39:05.367455,97.8,74.0
2025-03-14 22:39:15.367455,97.3,68.1
2025-03-14 22:39:25.367455,97.9,77.0
2025-03-14 22:39:35.367455,93.5,71.2
2025-03-14 22:39:45.367455,93.1,74.4
2025-03-14 22:39:55.367455,92.6,72.7
2025-03-14 22:40:05.367455,92.8,78.9
2025-03-14 22:40:15.367455,94.0,74.5
2025-03-14 22:40:25.367455,93.1,69.4
2025-03-14 22:40:35.367455,92.5,80.8
2025-03-14 22:40:45.367455,93.6,72.5
2025-03-14 22:40:55.367455,97.0,71.6
2025-03-14 22:41:05.367455,96.0,72.5
2025-03-14 22:41:15.367455,96.9,75.2
2025-03-14 22:41:25.367455,98.9,71.0
2025-03-14 22:41:35.367455,98.9,74.6
2025-03-14 22:41:45.367455,98.2,75.2
2025-03-14 22:41:55.367455,98.9,76.2
