timestamp,SpO2,pulse_rate
2025-03-14 22:33:56.990641,97.5,69.2
2025-03-14 22:34:06.990641,98.0,73.9
2025-03-14 22:34:16.990641,99.0,71.3
2025-03-14 22:34:26.990641,98.3,75.3
2025-03-14 22:34:36.990641,98.6,81.0
2025-03-14 22:34:46.990641,99.1,80.3
2025-03-14 22:34:56.990641,97.2,101.3
2025-03-14 22:35:06.990641,98.1,73.2
2025-03-14 22:35:16.990641,97.8,81.7
2025-03-14 22:35:26.990641,97.9,77.6
2025-03-14 22:35:36.990641,97.2,66.9
2025-03-14 22:35:46.990641,97.5,76.7
2025-03-14 22:35:56.990641,98.6,69.8
2025-03-14 22:36:06.990641,97.3,76.7
2025-03-14 22:36:16.990641,96.6,79.9
2025-03-14 22:36:26.990641,97.7,75.2
2025-03-14 22:36:36.990641,99.1,66.3
2025-03-14 22:36:46.990641,95.2,68.1
2025-03-14 22:36:56.990641,98.7,69.6
2025-03-14 22:37:06.990641,96.7,73.7
2025-03-14 22:37:16.990641,97.2,71.0
2025-03-14 22:37:26.990641,97.9,74.7
2025-03-14 22:37:36.990641,97.0,72.3
2025-03-14 22:37:46.990641,97.8,80.7
2025-03-14 22:37:56.990641,99.6,112.5
2025-03-14 22:38:06.990641,97.5,74.6
2025-03-14 22:38:16.990641,96.0,80.4
2025-03-14 22:38:26.990641,98.4,68.4
2025-03-14 22:38:36.990641,98.0,76.1
2025-03-14 22:38:46.990641,96.6,70.2
2025-03-14 22:38:56.990641,96.9,65.4
2025-03-14 22:39:06.990641,96.3,74.7
2025-03-14 22:39:16.990641,98.7,75.8
2025-03-14 22:39:26.990641,97.6,78.7
2025-03-14 22:39:36.990641,97.3,75.5
2025-03-14 22:39:46.990641,98.8,77.6
2025-03-14 22:39:56.990641,98.6,70.8
2025-03-14 22:40:06.990641,97.9,70.7
2025-03-14 22:40:16.990641,97.0,77.3
2025-03-14 22:40:26.990641,100.0,73.3
2025-03-14 22:40:36.990641,97.5,76.2
2025-03-14 22:40:46.990641,99.4,73.1
2025-03-14 22:40:56.990641,97.6,81.6
2025-03-14 22:41:06.990641,98.9,75.8
2025-03-14 22:41:16.990641,97.9,68.6
2025-03-14 22:41:26.990641,98.9,74.4
2025-03-14 22:41:36.990641,98.6,73.4
2025-03-14 22:41:46.990641,98.7,74.7
2025-03-14 22:41:56.990641,98.8,73.8
2025-03-14 22:42:06.990641,97.2,80.8
2025-03-14 22:42:16.990641,97.8,80.4
2025-03-14 22:42:26.990641,97.2,71.7
2025-03-14 22:42:36.990641,98.4,72.8
2025-03-14 22:42:46.990641,97.3,79.3
2025-03-14 22:42:56.990641,98.1,73.1
2025-03-14 22:43:06.990641,94.8,73.9
2025-03-14 22:43:16.990641,93.8,74.4
2025-03-14 22:43:26.990641,93.0,74.8
2025-03-14 22:43:36.990641,93.9,71.6
2025-03-14 22:43:46.990641,93.5,78.5
2025-03-14 22:43:56.990641,92.1,75.4
2025-03-14 22:44:06.990641,91.4,72.6
2025-03-14 22:44:16.990641,93.2,83.0
