timestamp,SpO2,pulse_rate
2025-03-14 22:27:53.368767,97.0,81.9
2025-03-14 22:28:03.368767,96.9,72.0
2025-03-14 22:28:13.368767,97.7,70.3
2025-03-14 22:28:23.368767,99.2,80.4
2025-03-14 22:28:33.368767,97.4,75.4
2025-03-14 22:28:43.368767,98.1,81.6
2025-03-14 22:28:53.368767,96.7,75.1
2025-03-14 22:29:03.368767,95.4,77.4
2025-03-14 22:29:13.368767,98.4,76.8
2025-03-14 22:29:23.368767,97.2,76.4
2025-03-14 22:29:33.368767,98.8,70.5
2025-03-14 22:29:43.368767,99.6,80.1
2025-03-14 22:29:53.368767,96.1,82.1
2025-03-14 22:30:03.368767,99.2,73.7
2025-03-14 22:30:13.368767,98.7,76.4
2025-03-14 22:30:23.368767,97.3,77.0
2025-03-14 22:30:33.368767,97.5,75.9
2025-03-14 22:30:43.368767,97.6,78.8
2025-03-14 22:30:53.368767,98.1,75.9
2025-03-14 22:31:03.368767,98.6,69.5
2025-03-14 22:31:13.368767,98.2,76.4
2025-03-14 22:31:23.368767,98.4,73.2
2025-03-14 22:31:33.368767,97.9,78.1
2025-03-14 22:31:43.368767,95.3,73.7
2025-03-14 22:31:53.368767,97.4,70.4
2025-03-14 22:32:03.368767,96.7,70.3
2025-03-14 22:32:13.368767,97.0,73.6
2025-03-14 22:32:23.368767,98.1,72.4
2025-03-14 22:32:33.368767,97.5,65.8
2025-03-14 22:32:43.368767,98.4,66.2
2025-03-14 22:32:53.368767,97.1,69.9
2025-03-14 22:33:03.368767,97.1,74.3
2025-03-14 22:33:13.368767,96.8,77.1
2025-03-14 22:33:23.368767,96.9,77.3
2025-03-14 22:33:33.368767,100.0,67.4
2025-03-14 22:33:43.368767,97.9,72.4
2025-03-14 22:33:53.368767,97.0,76.4
2025-03-14 22:34:03.368767,98.4,83.5
2025-03-14 22:34:13.368767,99.0,73.0
2025-03-14 22:34:23.368767,97.9,45.099999999999994
2025-03-14 22:34:33.368767,97.4,72.0
2025-03-14 22:34:43.368767,97.5,73.0
2025-03-14 22:34:53.368767,98.2,78.3
2025-03-14 22:35:03.368767,98.8,74.3
2025-03-14 22:35:13.368767,98.7,77.3
2025-03-14 22:35:23.368767,97.8,76.5
2025-03-14 22:35:33.368767,98.2,74.7
2025-03-14 22:35:43.368767,98.2,81.5
2025-03-14 22:35:53.368767,98.8,79.1
2025-03-14 22:36:03.368767,98.5,78.3
2025-03-14 22:36:13.368767,96.9,73.8
2025-03-14 22:36:23.368767,97.3,75.6
2025-03-14 22:36:33.368767,99.8,65.8
2025-03-14 22:36:43.368767,96.4,75.0
2025-03-14 22:36:53.368767,98.5,76.2
2025-03-14 22:37:03.368767,93.5,74.2
2025-03-14 22:37:13.368767,92.5,81.4
2025-03-14 22:37:23.368767,92.2,72.1
2025-03-14 22:37:33.368767,94.0,75.7
2025-03-14 22:37:43.368767,93.7,70.4
2025-03-14 22:37:53.368767,92.4,84.1
2025-03-14 22:38:03.368767,93.8,83.8
2025-03-14 22:38:13.368767,93.6,82.7
2025-03-14 22:38:23.368767,97.8,74.8
2025-03-14 22:38:33.368767,95.8,66.4
2025-03-14 22:38:43.368767,97.5,81.0
2025-03-14 22:38:53.368767,98.4,68.0
2025-03-14 22:39:03.368767,96.2,67.0
2025-03-14 22:39:13.368767,97.6,112.6
2025-03-14 22:39:23.368767,96.7,72.4
2025-03-14 22:39:33.368767,98.9,67.3
2025-03-14 22:39:43.368767,97.7,69.1
2025-03-14 22:39:53.368767,99.2,70.9
2025-03-14 22:40:03.368767,92.8,64.1
2025-03-14 22:40:13.368767,95.6,76.0
2025-03-14 22:40:23.368767,93.3,78.3
2025-03-14 22:40:33.368767,99.2,71.9
2025-03-14 22:40:43.368767,97.7,76.7
2025-03-14 22:40:53.368767,98.9,74.9
2025-03-14 22:41:03.368767,99.4,77.1
2025-03-14 22:41:13.368767,97.1,63.9
2025-03-14 22:41:23.368767,98.7,67.7
2025-03-14 22:41:33.368767,98.9,84.2
2025-03-14 22:41:43.368767,98.8,87.2
2025-03-14 22:41:53.368767,98.6,86.9
2025-03-14 22:42:03.368767,100.5,88.1
2025-03-14 22:42:13.368767,98.5,93.6
2025-03-14 22:42:23.368767,99.6,87.6
2025-03-14 22:42:33.368767,97.6,92.9
2025-03-14 22:42:43.368767,99.0,83.6
2025-03-14 22:42:53.368767,97.4,86.9
2025-03-14 22:43:03.368767,98.5,99.0
2025-03-14 22:43:13.368767,97.8,79.8
2025-03-14 22:43:23.368767,97.0,80.6
2025-03-14 22:43:33.368767,98.8,90.9
2025-03-14 22:43:43.368767,96.5,87.6
2025-03-14 22:43:53.368767,97.4,87.6
2025-03-14 22:44:03.368767,95.9,90.3
2025-03-14 22:44:13.368767,99.8,94.3
2025-03-14 22:44:23.368767,97.5,98.7
2025-03-14 22:44:33.368767,96.2,98.7
2025-03-14 22:44:43.368767,98.6,84.1
2025-03-14 22:44:53.368767,100.0,98.1
2025-03-14 22:45:03.368767,97.1,86.6
2025-03-14 22:45:13.368767,98.1,96.8
2025-03-14 22:45:23.368767,98.4,92.1
2025-03-14 22:45:33.368767,97.1,82.2
2025-03-14 22:45:43.368767,98.3,86.6
2025-03-14 22:45:53.368767,98.2,91.5
2025-03-14 22:46:03.368767,97.5,90.5
2025-03-14 22:46:13.368767,98.7,93.5
2025-03-14 22:46:23.368767,97.6,92.1
2025-03-14 22:46:33.368767,98.5,97.9
2025-03-14 22:46:43.368767,99.0,75.2
2025-03-14 22:46:53.368767,96.8,76.5
2025-03-14 22:47:03.368767,98.2,74.3
2025-03-14 22:47:13.368767,95.8,68.9
2025-03-14 22:47:23.368767,97.1,79.0
2025-03-14 22:47:33.368767,97.7,72.6
2025-03-14 22:47:43.368767,98.0,73.3
2025-03-14 22:47:53.368767,98.1,71.0
2025-03-14 22:48:03.368767,99.5,69.9
2025-03-14 22:48:13.368767,96.1,79.8
2025-03-14 22:48:23.368767,96.8,78.7
2025-03-14 22:48:33.368767,97.4,64.4
2025-03-14 22:48:43.368767,98.5,61.9
2025-03-14 22:48:53.368767,97.6,68.9
2025-03-14 22:49:03.368767,98.1,78.4
2025-03-14 22:49:13.368767,98.8,77.2
2025-03-14 22:49:23.368767,97.1,74.9
2025-03-14 22:49:33.368767,98.2,83.6
2025-03-14 22:49:43.368767,96.5,75.4
2025-03-14 22:49:53.368767,97.3,74.2
2025-03-14 22:50:03.368767,97.4,80.2
2025-03-14 22:50:13.368767,98.0,78.9
2025-03-14 22:50:23.368767,98.9,78.4
2025-03-14 22:50:33.368767,98.2,74.7
2025-03-14 22:50:43.368767,97.0,72.8
2025-03-14 22:50:53.368767,96.7,78.2
2025-03-14 22:51:03.368767,97.1,83.8
2025-03-14 22:51:13.368767,99.6,73.8
2025-03-14 22:51:23.368767,97.8,72.2
